Gene.symbol	t-score	FoldChange	pvalue	FDR
ABHD18	-0.567194	0.910745167	0.573	0.961
ABHD2	-2.021167	0.910506985	0.0485	0.653
ABHD3	0.4358434	1.031350793	0.665	0.97
ABHD4	-0.5392462	0.970835898	0.592	0.962
ABHD5	-3.0590065	0.762562383	0.00353	0.211
ABHD6	0.6453219	1.037477458	0.522	0.949
ABHD8	-0.4672163	0.974577716	0.642	0.966
ABI1	-0.3692161	0.972326273	0.713	0.977
ABI2	0.6006483	1.019597944	0.551	0.954
ABI3	2.6710409	1.191518284	0.0101	0.364
ABI3BP	-0.0829607	0.998102877	0.934	0.998
ABL1	-0.4288419	0.972278268	0.67	0.972
ABLIM1	-1.049674	0.917508723	0.299	0.897
ABLIM2	-1.2024681	0.966239489	0.235	0.883
ABLIM3	0.658215	1.071686064	0.513	0.947
ABR	1.8575111	1.097286697	0.069	0.722
ABRA	-0.0846624	0.997913533	0.933	0.998
ABRACL	-0.1162375	0.991052267	0.908	0.996
ABRAXAS2	-1.9980804	0.906217151	0.0511	0.659
ABT1	-0.7643675	0.93926275	0.448	0.936
ABTB1	-1.8427261	0.916142638	0.0712	0.729
ABTB2	2.0917077	1.091908965	0.0415	0.633
ACAA1	1.466753	1.086495124	0.149	0.841
ACAA2	0.1504354	1.011037508	0.881	0.991
ACACA	0.7144279	1.033460788	0.478	0.943
ACACB	-0.7272964	0.971291257	0.47	0.942
ACAD10	-0.561266	0.980278292	0.577	0.962
ACAD11	-1.1248131	0.910235229	0.266	0.889
ACAD8	-1.1753932	0.884217829	0.245	0.883
ACAD9	1.5258517	1.041129162	0.133	0.819
ACADL	-0.6330152	0.981855518	0.53	0.95
ACADM	2.1973901	1.330686294	0.0326	0.592
ACADS	0.4239956	1.014872535	0.673	0.972
ACADSB	0.1330118	1.010424552	0.895	0.994
ACADVL	-0.8140564	0.945661233	0.419	0.927
ACAN	-0.940164	0.962294008	0.352	0.912
ACAP1	-0.8658249	0.925474324	0.391	0.919
ACAP3	0.03974	1.00234894	0.968	0.998
ACAT1	0.346846	1.012424791	0.73	0.978
ACAT2	1.0041017	1.049324358	0.32	0.902
ACBD3	-1.5669763	0.922225843	0.123	0.807
ACBD4	0.4404066	1.023695559	0.662	0.969
ACBD5	-1.5605049	0.908024387	0.125	0.81
ACBD6	0.5840158	1.032297125	0.562	0.957
ACCS	-0.1836049	0.978733733	0.855	0.988
ACD	1.664255	1.11825359	0.102	0.785
ACE	-0.7807374	0.969198012	0.439	0.932
ACE2	-0.7141636	0.981203571	0.478	0.943
ACER1	-0.8663521	0.959440543	0.39	0.919
ACER2	1.8723061	1.178034116	0.0669	0.716
ACER3	1.4304177	1.15244381	0.159	0.846
ACHE	-0.8355835	0.972272243	0.407	0.923
ACIN1	-1.9652512	0.881614832	0.0548	0.672
ACKR1	-0.5335957	0.974554532	0.596	0.963
ACKR2	-0.8630636	0.968981193	0.392	0.92
ACKR3	-0.6483471	0.877366459	0.52	0.949
ACLY	1.4100019	1.109708349	0.165	0.849
ACO2	-0.2585327	0.991401811	0.797	0.982
ACOD1	1.3243451	1.057456194	0.191	0.867
ACOT12	-0.4388219	0.981959283	0.663	0.97
ACOT6	1.2967123	1.045932008	0.201	0.87
ACOT7	0.4388194	1.026136837	0.663	0.97
ACOT8	0.5439023	1.057457836	0.589	0.962
ACOT9	3.5445823	1.197330114	0.000852	0.0807
ACOX1	-0.0766191	0.992355736	0.939	0.998
ACOX2	-1.5682671	0.93969805	0.123	0.807
ACOX3	1.1248879	1.073360989	0.266	0.889
ACOXL	-0.7392211	0.980701072	0.463	0.94
ACP1	-1.0633195	0.943186458	0.293	0.896
ACP2	4.7731824	1.426846205	0.0000156	0.00311
ACP4	-1.3781707	0.934410519	0.174	0.857
ACP5	0.3582319	1.046956594	0.722	0.978
ACP6	-0.0042698	0.999714298	0.997	1
ACRV1	0.0378417	1.001249165	0.97	0.998
ACSBG2	-1.1621888	0.94063903	0.251	0.883
ACSF2	0.5297695	1.030772048	0.599	0.963
ACSF3	0.4524131	1.015954534	0.653	0.967
ACSL1	0.9124193	1.132277713	0.366	0.915
ACSL4	-0.2239988	0.958267171	0.824	0.984
ACSL5	2.3936971	1.274368454	0.0204	0.494
ACSL6	-0.5638895	0.943140428	0.575	0.962
ACSM1	0.8887978	1.036592593	0.378	0.918
ACSS1	0.6978601	1.05727488	0.488	0.944
ACSS2	0.9126912	1.043248307	0.366	0.915
ACSS3	-0.4031393	0.983761936	0.689	0.972
ACTA1	0.2037135	1.012065365	0.839	0.986
ACTA2	1.7675116	1.195182791	0.0831	0.753
ACTC1	0.4078599	1.018852333	0.685	0.972
ACTG1	-2.0410863	0.941877486	0.0464	0.645
ACTG2	-0.1998504	0.990918548	0.842	0.987
ACTL10	-1.5516463	0.938531811	0.127	0.811
ACTL6A	1.612957	1.248837548	0.113	0.8
ACTL6B	0.102997	1.004807794	0.918	0.996
ACTL7A	0.1898082	1.00825203	0.85	0.988
ACTL7B	-1.2205488	0.93154123	0.228	0.881
ACTL8	-0.4827879	0.972247146	0.631	0.965
ACTL9	-0.0079151	0.999635727	0.994	0.999
ACTN1	1.7869164	1.12864357	0.0799	0.746
ACTN1	-0.5106366	0.957483314	0.612	0.964
ACTN2	-0.7519887	0.978992749	0.456	0.938
ACTN4	1.9632726	1.137574988	0.0551	0.673
ACTR10	0.4756192	1.031218828	0.636	0.965
ACTR1A	0.4088956	1.025619538	0.684	0.972
ACTR1B	-1.1672906	0.939815496	0.249	0.883
ACTR3	1.6281054	1.161475748	0.11	0.794
ACTR3	0.8938431	1.031328475	0.376	0.917
ACTR3B	-0.0020377	0.999885499	0.998	1
ACTR5	-0.4196453	0.981141342	0.677	0.972
ACTR6	0.4827431	1.035079838	0.631	0.965
ACTR8	0.4159696	1.014456905	0.679	0.972
ACTRT2	-0.7181903	0.964193708	0.476	0.943
ACTRT3	-0.8480019	0.972208363	0.4	0.923
ACVR1	1.1530364	1.093711869	0.254	0.885
ACVR1B	-0.5324237	0.984306141	0.597	0.963
ACVR2A	0.9868635	1.061137375	0.328	0.904
ACVR2B	0.4771906	1.021880021	0.635	0.965
ACVRL1	-0.3760645	0.981934052	0.708	0.976
ACY1	-1.1972913	0.926881847	0.237	0.883
ACY3	-0.2116973	0.991027647	0.833	0.986
ACYP1	1.595589	1.176400017	0.117	0.803
ACYP2	-0.8340813	0.947967274	0.408	0.923
ADA2	3.967322	1.519493675	0.000228	0.0284
ADAD1	-1.3608702	0.949268082	0.18	0.862
ADAD2	-1.3754844	0.923135743	0.175	0.858
ADAM10	0.7190815	1.042542271	0.475	0.943
ADAM11	-0.9126981	0.962460868	0.366	0.915
ADAM12	-0.0580019	0.993672174	0.954	0.998
ADAM15	-0.2687058	0.986261006	0.789	0.982
ADAM17	0.4863569	1.02695091	0.629	0.965
ADAM18	-0.6439949	0.981407145	0.522	0.949
ADAM19	-0.517664	0.978928842	0.607	0.964
ADAM2	0.3161647	1.007894532	0.753	0.98
ADAM20	0.073477	1.002560702	0.942	0.998
ADAM21	0.3006964	1.012380771	0.765	0.98
ADAM22	-0.3530774	0.983472652	0.725	0.978
ADAM23	-1.2687274	0.913246358	0.21	0.877
ADAM23	-0.3849077	0.987896776	0.702	0.974
ADAM28	-2.5039729	0.782141576	0.0155	0.44
ADAM29	-1.122762	0.958615571	0.267	0.889
ADAM30	-0.6718661	0.979279684	0.505	0.946
ADAM32	-0.4663129	0.985739922	0.643	0.966
ADAM33	-1.2116997	0.934961763	0.231	0.882
ADAM7	-0.35501	0.991831053	0.724	0.978
ADAM8	0.7214758	1.033886618	0.474	0.943
ADAM9	0.2721768	1.028224077	0.787	0.982
ADAMDEC1	2.1930677	1.15666527	0.0329	0.592
ADAMTS1	-0.173993	0.991759701	0.863	0.99
ADAMTS12	-0.2406473	0.984625644	0.811	0.984
ADAMTS13	-0.1036225	0.994972213	0.918	0.996
ADAMTS14	-0.0780024	0.996785081	0.938	0.998
ADAMTS15	0.813714	1.032339171	0.42	0.927
ADAMTS17	0.1107759	1.004324338	0.912	0.996
ADAMTS18	1.0757977	1.034364653	0.287	0.894
ADAMTS19	-0.1070536	0.997580403	0.915	0.996
ADAMTS2	0.455052	1.019392441	0.651	0.966
ADAMTS20	-0.0167633	0.99966009	0.987	0.999
ADAMTS3	-1.0007838	0.970269407	0.322	0.902
ADAMTS5	-2.596346	0.905629331	0.0123	0.393
ADAMTS6	-1.310446	0.961336443	0.196	0.868
ADAMTS8	-0.0725466	0.996904264	0.942	0.998
ADAMTSL2	-1.2347825	0.938862545	0.223	0.878
ADAMTSL3	0.1000531	1.002814374	0.921	0.997
ADAMTSL4	3.1727788	1.162684993	0.00256	0.169
ADAMTSL5	-2.2009774	0.910189974	0.0323	0.592
ADAP1	0.9907	1.082350556	0.327	0.903
ADAP2	4.1788361	1.359424925	0.000115	0.0168
ADAR	5.9552884	1.474991366	0.000000241	0.0000758
ADARB1	-0.9391175	0.971199403	0.352	0.912
ADCK1	1.7706686	1.09010471	0.0826	0.752
ADCK5	-0.7185262	0.959736116	0.476	0.943
ADCY1	-1.0073301	0.969967323	0.319	0.901
ADCY10	-0.3565641	0.990010979	0.723	0.978
ADCY2	-1.0449955	0.974193714	0.301	0.898
ADCY3	-0.0110601	0.999466294	0.991	0.999
ADCY4	-0.7748492	0.958702188	0.442	0.933
ADCY6	-0.6510704	0.97511999	0.518	0.948
ADCY7	2.4064963	1.17599008	0.0198	0.488
ADCY8	-0.5988287	0.956339248	0.552	0.954
ADCY9	-0.2227196	0.991195051	0.825	0.984
ADCYAP1	-0.1877395	0.990979618	0.852	0.988
ADCYAP1R1	0.1626645	1.006174819	0.871	0.99
ADD1	0.2266494	1.011603294	0.822	0.984
ADD2	-0.1585063	0.993565628	0.875	0.991
ADD3	0.1455909	1.009998276	0.885	0.992
ADGRA1	-1.5514082	0.939373493	0.127	0.811
ADGRA2	-1.9242058	0.912677797	0.0599	0.692
ADGRA3	0.0234534	1.000982422	0.981	0.998
ADGRB1	-0.8410161	0.960228126	0.404	0.923
ADGRB2	-1.6586789	0.947313487	0.103	0.785
ADGRB3	-1.5730763	0.959648675	0.122	0.807
ADGRE1	0.839942	1.082194999	0.405	0.923
ADGRE2	0.7329304	1.058575178	0.467	0.941
ADGRE5	1.4567591	1.138384781	0.151	0.842
ADGRF3	1.25161	1.029927361	0.216	0.877
ADGRF4	-0.0965568	0.997813359	0.923	0.997
ADGRF5	0.3259978	1.011101514	0.746	0.979
ADGRG1	0.6638482	1.053797776	0.51	0.947
ADGRG2	0.0782759	1.002675454	0.938	0.998
ADGRG3	-2.2900362	0.753264926	0.0262	0.543
ADGRG4	-0.7287211	0.974493819	0.47	0.941
ADGRG5	0.9843305	1.077452426	0.33	0.905
ADGRG7	-0.0104879	0.999725343	0.992	0.999
ADGRL1	-0.0266927	0.998648432	0.979	0.998
ADGRL2	-0.4741343	0.987718687	0.637	0.966
ADGRL3	0.582007	1.013077567	0.563	0.958
ADGRV1	-0.3636052	0.990728425	0.718	0.978
ADH1B	-0.543002	0.988190259	0.589	0.962
ADH4	-0.2591189	0.993529755	0.797	0.982
ADH6	-1.162639	0.961835913	0.25	0.883
ADH7	-0.109372	0.997136205	0.913	0.996
ADI1	-0.1713119	0.9878714	0.865	0.99
ADIG	-0.670832	0.967267191	0.505	0.946
ADIPOQ	-0.9059641	0.969602303	0.369	0.916
ADIPOR1	-0.6291107	0.934932678	0.532	0.95
ADIPOR2	1.6354426	1.081428558	0.108	0.792
ADIRF	-1.1659599	0.951002231	0.249	0.883
ADM	1.0959931	1.195251619	0.278	0.891
ADM5	-0.6465255	0.962603411	0.521	0.949
ADNP	-1.7638759	0.906650201	0.0837	0.753
ADNP	0.4043447	1.027948694	0.688	0.972
ADNP2	-1.1070994	0.91244957	0.273	0.889
ADO	-1.2055141	0.927462323	0.234	0.883
ADORA1	-1.1553567	0.947369007	0.253	0.885
ADORA2A	0.3457165	1.0298486	0.731	0.978
ADORA2B	0.789495	1.075674595	0.433	0.931
ADORA3	-0.2669684	0.982006535	0.791	0.982
ADPRH	3.3075075	1.128115341	0.00173	0.135
ADPRHL1	-1.0795048	0.960215174	0.285	0.894
ADPRHL2	1.0184294	1.055406	0.313	0.899
ADPRM	0.3055461	1.027138416	0.761	0.98
ADRA1A	-1.1178607	0.972906076	0.269	0.889
ADRA1B	-0.6359366	0.971269323	0.528	0.95
ADRA1D	-0.9195721	0.974508146	0.362	0.914
ADRA2A	0.6847222	1.048244383	0.497	0.945
ADRA2B	0.0014034	1.000051738	0.999	1
ADRA2C	-0.9119644	0.955074242	0.366	0.915
ADRB3	-0.8136109	0.970563311	0.42	0.927
ADSL	-0.1683223	0.991163654	0.867	0.99
ADSS	0.1306435	1.012972705	0.897	0.994
ADSSL1	-0.5178016	0.969892932	0.607	0.964
ADTRP	1.2458544	1.132045802	0.219	0.878
AEBP1	-0.7014574	0.97279902	0.486	0.944
AEBP2	0.1860819	1.015455607	0.853	0.988
AEN	2.0679999	1.116538161	0.0437	0.636
AES	-0.5209313	0.965170616	0.605	0.964
AFAP1	-0.2578628	0.978155081	0.798	0.982
AFAP1L1	-0.3393018	0.990221933	0.736	0.979
AFAP1L2	0.914075	1.029825379	0.365	0.915
AFF1	-0.5960226	0.975844305	0.554	0.955
AFF2	-0.2698042	0.990705502	0.788	0.982
AFF3	0.0230273	1.000610877	0.982	0.998
AFF4	-1.3438301	0.945156751	0.185	0.864
AFG1L	-1.5769899	0.950335021	0.121	0.807
AFM	0.3418253	1.012455101	0.734	0.979
AFP	0.1578753	1.006028991	0.875	0.991
AGA	0.3862001	1.02672663	0.701	0.974
AGAP1	-1.2044796	0.855237726	0.234	0.883
AGAP2	-0.4180944	0.988081315	0.678	0.972
AGAP3	-0.3849812	0.988069857	0.702	0.974
AGBL2	-0.3011971	0.973402031	0.764	0.98
AGBL5	-0.8503056	0.967857677	0.399	0.923
AGER	2.1612362	1.204633805	0.0354	0.605
AGFG2	-0.364996	0.991339623	0.717	0.978
AGGF1	-0.8954205	0.944543516	0.375	0.916
AGL	1.1319378	1.112601881	0.263	0.889
AGMAT	1.044463	1.073524979	0.301	0.898
AGO1	-0.38469	0.984112088	0.702	0.974
AGPAT1	1.3293692	1.115183538	0.19	0.867
AGPAT2	-0.3152855	0.979143346	0.754	0.98
AGPAT3	1.8680311	1.106209809	0.0675	0.717
AGPAT4	-0.3160434	0.975279617	0.753	0.98
AGPAT5	0.0637048	1.005124896	0.949	0.998
AGR2	0.3189489	1.009417868	0.751	0.98
AGR3	0.9511056	1.023261904	0.346	0.911
AGRN	1.3529401	1.061720092	0.182	0.863
AGRP	-1.6908805	0.935774915	0.097	0.775
AGT	0.2254222	1.010787445	0.823	0.984
AGTR1	1.811524	1.040156522	0.0759	0.737
AGTR2	-1.1322848	0.97311466	0.263	0.889
AGTRAP	-0.7522171	0.944317178	0.455	0.938
AGXT	-1.0920694	0.965829156	0.28	0.892
AGXT2	-0.2045769	0.99166695	0.839	0.986
AHCTF1	-0.9666507	0.921360772	0.338	0.908
AHCY	-0.3011269	0.980945385	0.765	0.98
AHCYL2	0.8339516	1.036229083	0.408	0.923
AHDC1	-0.9915976	0.956855648	0.326	0.903
AHI1	-0.6011311	0.981797862	0.55	0.954
AHNAK	-1.5944973	0.933666044	0.117	0.803
AHSA1	1.439301	1.125507281	0.156	0.846
AHSG	-0.1729897	0.993836581	0.863	0.99
AHSP	0.0936298	1.019005226	0.926	0.997
AICDA	0.3397197	1.010185711	0.735	0.979
AIF1	1.7584475	1.141287568	0.0847	0.753
AIF1L	-0.1585769	0.994533767	0.875	0.991
AIFM1	0.2630805	1.024724437	0.794	0.982
AIG1	-0.2605833	0.993508145	0.795	0.982
AIMP1	-0.9427294	0.952750292	0.35	0.912
AIMP2	0.5755304	1.0288541	0.567	0.959
AIP	-0.3149721	0.975241666	0.754	0.98
AIPL1	-0.6191706	0.977683751	0.539	0.951
AIRE	-0.4020914	0.974379895	0.689	0.972
AJAP1	-1.2055965	0.962478047	0.234	0.883
AJAP1	-0.295634	0.99104017	0.769	0.98
AK1	-0.6529607	0.959099255	0.517	0.947
AK2	1.7962728	1.180035138	0.0784	0.744
AK5	0.5150165	1.050278446	0.609	0.964
AK8	-0.1194354	0.993896459	0.905	0.996
AKAIN1	-0.0627237	0.99801425	0.95	0.998
AKAP1	-0.1377196	0.993028453	0.891	0.993
AKAP10	1.4193108	1.148363762	0.162	0.847
AKAP11	-1.4281621	0.865945432	0.159	0.846
AKAP12	-0.6965396	0.960778658	0.489	0.944
AKAP13	-0.1202788	0.990904392	0.905	0.996
AKAP14	0.1501579	1.002990923	0.881	0.991
AKAP2	0.4138949	1.013067849	0.681	0.972
AKAP3	0.690372	1.035132178	0.493	0.945
AKAP4	0.0085175	1.000322657	0.993	0.999
AKAP6	-0.5044441	0.985642555	0.616	0.964
AKAP7	1.4328548	1.061328702	0.158	0.846
AKAP8L	-1.1379295	0.957472423	0.26	0.888
AKAP9	-0.5484616	0.982931878	0.586	0.962
AKIP1	2.2834582	1.111984786	0.0266	0.545
AKIRIN1	-2.2746712	0.822850841	0.0272	0.549
AKIRIN2	-0.5756374	0.974694791	0.567	0.959
AKNA	-0.036982	0.997018977	0.971	0.998
AKR1A1	2.3393085	1.116412211	0.0233	0.517
AKR1B1	-1.0852704	0.924718605	0.283	0.893
AKR1C1	-0.0045562	0.99981731	0.996	1
AKR1C3	1.2895187	1.257898425	0.203	0.872
AKR1D1	1.7926126	1.043256233	0.079	0.744
AKR7A2	0.9907286	1.07345464	0.326	0.903
AKT1	-0.0120459	0.998874014	0.99	0.999
AKT1S1	-0.0667963	0.997869383	0.947	0.998
AKT2	-0.8059948	0.973805659	0.424	0.928
AKT3	-0.4154138	0.978217229	0.68	0.972
AKTIP	-0.7224795	0.945269958	0.473	0.942
ALAD	-0.0198407	0.999186645	0.984	0.999
ALAS1	1.5685577	1.158974432	0.123	0.807
ALAS2	0.6290318	1.233243565	0.532	0.95
ALAS2	0.3546689	1.022976398	0.724	0.978
ALB	-0.2683443	0.99520289	0.79	0.982
ALCAM	-0.3057677	0.985085812	0.761	0.98
ALDH18A1	2.0004847	1.181704929	0.0508	0.657
ALDH1A1	-0.2240279	0.962471309	0.824	0.984
ALDH1A2	-0.2593386	0.988486337	0.796	0.982
ALDH1A3	-0.0659925	0.998289827	0.948	0.998
ALDH1B1	-1.6755437	0.949347004	0.0999	0.781
ALDH1L1	-1.4061789	0.955054217	0.166	0.85
ALDH1L2	0.2649792	1.005557179	0.792	0.982
ALDH2	-1.8679579	0.865671075	0.0675	0.717
ALDH3A1	-0.7562554	0.958397062	0.453	0.938
ALDH3A2	0.7877994	1.032277777	0.434	0.931
ALDH3B1	1.1507702	1.061193203	0.255	0.886
ALDH3B2	-2.0183996	0.943893851	0.0488	0.653
ALDH4A1	-1.1809175	0.951985728	0.243	0.883
ALDH5A1	-0.877385	0.953694809	0.384	0.919
ALDH6A1	0.4565503	1.030205909	0.65	0.966
ALDH7A1	-1.9771866	0.940925745	0.0534	0.668
ALDH8A1	-0.7187444	0.897087193	0.476	0.943
ALDH9A1	0.1545893	1.008349918	0.878	0.991
ALDOA	-0.7312541	0.942075402	0.468	0.941
ALDOB	-0.3851746	0.990538682	0.702	0.974
ALDOC	0.3425736	1.020885036	0.733	0.979
ALG10	-0.0553596	0.997788959	0.956	0.998
ALG12	-1.2404398	0.935182456	0.22	0.878
ALG13	0.7981371	1.067890269	0.428	0.929
ALG14	1.7311146	1.174417548	0.0895	0.758
ALG2	-1.5617443	0.896747914	0.125	0.81
ALG3	1.4667252	1.089148627	0.149	0.841
ALG5	0.0920749	1.004887983	0.927	0.997
ALG6	1.5045885	1.175093871	0.139	0.825
ALG8	1.7315385	1.232223786	0.0894	0.758
ALKAL2	-1.4626554	0.936207884	0.15	0.842
ALKBH1	-1.5512647	0.950491645	0.127	0.811
ALKBH2	-0.8081239	0.94467004	0.423	0.928
ALKBH6	0.3584464	1.025601125	0.721	0.978
ALKBH7	-2.2174819	0.864187507	0.0311	0.583
ALKBH8	0.7818952	1.05271759	0.438	0.932
ALLC	-0.6294699	0.957193271	0.532	0.95
ALMS1	-0.4649031	0.977525647	0.644	0.966
ALOX12B	-0.6120544	0.976226209	0.543	0.952
ALOX15	-1.1511412	0.959679945	0.255	0.886
ALOX15B	-0.9693364	0.969487908	0.337	0.908
ALOX5	0.369301	1.019622737	0.713	0.977
ALOX5AP	-1.5616164	0.852850836	0.125	0.81
ALOXE3	0.0665296	1.002276199	0.947	0.998
ALPI	-1.4201256	0.939140843	0.162	0.847
ALPK3	0.274167	1.010527162	0.785	0.982
ALPL	-1.9318084	0.930459616	0.0589	0.689
ALPP	1.2453991	1.099887105	0.219	0.878
ALPPL2	0.057506	1.002755751	0.954	0.998
ALS2	0.1279854	1.003860701	0.899	0.995
ALS2CL	-1.2791533	0.94354432	0.207	0.876
ALS2CR12	0.3783853	1.012542055	0.707	0.976
ALX1	-0.2147345	0.992023059	0.831	0.985
ALX4	-1.3095878	0.950121289	0.196	0.868
AMACR	-1.5146188	0.95636223	0.136	0.825
AMBN	0.0169832	1.000710222	0.987	0.999
AMBP	-0.4769275	0.97644366	0.635	0.965
AMDHD1	0.155907	1.021159914	0.877	0.991
AMELY	0.0177464	1.000522034	0.986	0.999
AMER1	-0.2581834	0.988750333	0.797	0.982
AMER2	-1.3283329	0.964262174	0.19	0.867
AMFR	-2.0535743	0.895726293	0.0452	0.639
AMH	-1.7339776	0.923482169	0.089	0.758
AMIGO2	1.2776007	1.097668271	0.207	0.876
AMIGO3	-0.6811188	0.970922212	0.499	0.946
AMMECR1L	0.3013254	1.024407322	0.764	0.98
AMN	-0.8065763	0.972491658	0.424	0.928
AMN1	0.122506	1.00347604	0.903	0.996
AMOTL1	-0.3492554	0.990069392	0.728	0.978
AMPD1	0.3908046	1.012938041	0.698	0.974
AMPD2	0.1922439	1.017700837	0.848	0.987
AMPD3	-0.9749487	0.961448875	0.334	0.907
AMPH	0.5174638	1.016074488	0.607	0.964
AMT	0.0155125	1.001056998	0.988	0.999
AMZ1	-0.0996452	0.996660122	0.921	0.997
ANAPC10	0.3294386	1.037828637	0.743	0.979
ANAPC11	0.1926947	1.006479404	0.848	0.987
ANAPC13	-0.1381133	0.993827832	0.891	0.993
ANAPC15	-1.26979	0.915614782	0.21	0.877
ANAPC16	-2.1396826	0.878253229	0.0372	0.613
ANAPC2	-0.7080828	0.945184208	0.482	0.943
ANAPC4	1.0870153	1.066623612	0.282	0.893
ANAPC5	-0.2786374	0.98828372	0.782	0.981
ANG	1.2003843	1.130850997	0.236	0.883
ANGEL1	-0.3965344	0.989416319	0.693	0.973
ANGEL2	-0.7086554	0.952447396	0.482	0.943
ANGPT1	-1.2284842	0.967282967	0.225	0.88
ANGPT2	-1.4242812	0.958973325	0.16	0.846
ANGPT4	-0.9090524	0.960850765	0.368	0.915
ANGPTL1	-1.2581405	0.973469916	0.214	0.877
ANGPTL3	0.9729752	1.02605331	0.335	0.907
ANGPTL4	-1.7542301	0.919637525	0.0854	0.754
ANGPTL7	-0.7271625	0.972558462	0.47	0.942
ANGPTL8	-0.4557916	0.985103668	0.65	0.966
ANK2	-0.5236708	0.990158343	0.603	0.964
ANK3	-1.1650078	0.913451471	0.249	0.883
ANKDD1A	0.614889	1.058447631	0.541	0.952
ANKEF1	-0.2235953	0.987048144	0.824	0.984
ANKH	-0.2837208	0.97864142	0.778	0.981
ANKIB1	2.232911	1.19902835	0.03	0.573
ANKMY2	1.5581504	1.092146491	0.125	0.81
ANKRA2	-0.6390503	0.95115671	0.526	0.949
ANKRD1	-0.2744483	0.99241988	0.785	0.982
ANKRD10	-0.3820823	0.979847951	0.704	0.974
ANKRD11	-0.3391876	0.96464785	0.736	0.979
ANKRD12	-0.5155359	0.968010184	0.608	0.964
ANKRD13A	-0.3211842	0.984196138	0.749	0.98
ANKRD13D	0.5876016	1.044853786	0.559	0.957
ANKRD16	0.5309962	1.040927464	0.598	0.963
ANKRD17	-0.1420224	0.994095046	0.888	0.993
ANKRD18A	0.1187626	1.012576495	0.906	0.996
ANKRD2	0.0700463	1.003842178	0.944	0.998
ANKRD22	4.297971	2.740245575	0.0000776	0.012
